Index,Title,AltTitle,Author,OriginalKey,Tempo,TimeSignature,CcliSongNumber,PublicationYear,CopyrightHolder,Category,Status
1,Angels From The Realms Of Glory,,James Montgomery,Bb,100,4-Apr,31669,1816,Public Domain,Christmas,Final
2,Angels We Have Heard On High,,James Chadwick,F,100,4-Apr,27721,1862,Public Domain,Christmas,Final
3,Away In A Manger,,"Martin Luther, John McFarland",F,100,4-Mar,38583,1882,Public Domain,Christmas,Final
4,Come Thou Long Expected Jesus,,Charles Wesley,F,90,4-Mar,31999,1744,Public Domain,Christmas,Final
5,Go Tell It On The Mountain,,John Work,F,0,4-Apr,29080,1909,Public Domain,Christmas,Final
6,God Rest Ye Merry Gentlemen,,Unknown (English Carol),Em,120,4-Apr,39441,1760,Public Domain,Christmas,Final
7,Good Christian Men Rejoice,,John Neale,F,96,8-Jun,85158,1853,Public Domain,Christmas,Final
8,Hark The Herald Angels Sing,,Charles Wesley,F,0,4-Apr,27738,1739,Public Domain,Christmas,Final
9,It Came Upon The Midnight Clear,,Edmund Sears,Ab,120,8-Jun,31078,1849,Public Domain,Christmas,Final
10,Joy To The World,,Isaac Watts,D,96,4-Feb,24016,1719,Public Domain,Christmas,Final
11,Mary Did You Know,,Buddy Greene,Cm,0,4-Apr,839225,1991,Rufus Music,Christmas,Final
12,O Come All Ye Faithful,,"John Wade, Frederick Oakeley",G,110,4-Apr,31054,1841,Public Domain,Christmas,Final
13,O Come O Come Emmanuel,,"Veni Emmanuel, John Neale",Em,76,4-Apr,31982,1861,Public Domain,Christmas,Final
14,O Holy Night,,Placide Cappeau,C,90,8-Jun,32015,1847,Public Domain,Christmas,Final
15,O Little Town Of Bethlehem,,Phillips Brooks,F,90,4-Apr,27879,1868,Public Domain,Christmas,Final
16,Silent Night,,Joseph Mohr,Bb,0,8-Jun,27862,1818,Public Domain,Christmas,Final
17,The First Noel,,Unknown (English Carol),D,80,4-Mar,31047,1833,Public Domain,Christmas,Final
18,We Three Kings,,John Hopkins,G,132,8-Jun,38002,1857,Public Domain,Christmas,Final
19,What Child Is This,,William Dix,G,0,8-Jun,30983,1865,Public Domain,Christmas,Final
20,While Shepherds Watched,,Nahum Tate,C,90,4-Apr,32008,1700,Public Domain,Christmas,Final
