Index,Title,AltTitle,Author,Key,OriginalKey,Tempo,TimeSignature,CcliSongNumber,PublicationYear,CopyrightHolder,Category,PagesLead,Status,PageNumber
1,Angels From The Realms Of Glory,,James Montgomery,A,Bb,100,4/4,31669,1816,Public Domain,Christmas,1,Final,260
2,Angels We Have Heard On High,,James Chadwick,F,F,100,4/4,27721,1862,Public Domain,Christmas,1,Final,260
3,Away In A Manger,,"Martin Luther, John McFarland",F,F,100,3/4,38583,1882,Public Domain,Christmas,1,Final,261
4,Come Thou Long Expected Jesus,,Charles Wesley,F,F,90,3/4,31999,1744,Public Domain,Christmas,1,Final,261
5,Go Tell It On The Mountain,,John Work,F,F,0,4/4,29080,1909,Public Domain,Christmas,1,Final,262
6,God Rest Ye Merry Gentlemen,,Unknown (English Carol),Em,Em,120,4/4,39441,1760,Public Domain,Christmas,3,Final,262
7,Good Christian Men Rejoice,,John Neale,F,F,96,6/8,85158,1853,Public Domain,Christmas,1,Final,264
8,Hark The Herald Angels Sing,,Charles Wesley,F,F,0,4/4,27738,1739,Public Domain,Christmas,2,Final,264
9,It Came Upon The Midnight Clear,,Edmund Sears,G,Ab,120,6/8,31078,1849,Public Domain,Christmas,1,Final,265
10,Joy To The World,,Isaac Watts,D,D,96,2/4,24016,1719,Public Domain,Christmas,1,Final,266
11,Mary Did You Know,,Buddy Greene,Cm,Cm,0,4/4,839225,1991,Rufus Music,Christmas,3,Final,266
12,O Come All Ye Faithful,,"John Wade, Frederick Oakeley",G,G,110,4/4,31054,1841,Public Domain,Christmas,1,Final,268
13,O Come O Come Emmanuel,,"Veni Emmanuel, John Neale",Em,Em,76,4/4,31982,1861,Public Domain,Christmas,1,Final,268
14,O Holy Night,,Placide Cappeau,C,C,90,6/8,32015,1847,Public Domain,Christmas,2,Final,269
15,O Little Town Of Bethlehem,,Phillips Brooks,F,F,90,4/4,27879,1868,Public Domain,Christmas,1,Final,270
16,Silent Night,,Joseph Mohr,A,Bb,0,6/8,27862,1818,Public Domain,Christmas,1,Final,270
17,The First Noel,,Unknown (English Carol),D,D,80,3/4,31047,1833,Public Domain,Christmas,2,Final,271
18,We Three Kings,,John Hopkins,G,G,132,6/8,38002,1857,Public Domain,Christmas,1,Final,272
19,What Child Is This,,William Dix,G,G,0,6/8,30983,1865,Public Domain,Christmas,1,Final,272
20,While Shepherds Watched,,Nahum Tate,C,C,90,4/4,32008,1700,Public Domain,Christmas,1,Final,273
