Index,Artist,Album,Song,Title,AltTitle,Author,Key,OriginalKey,Tempo,TimeSignature,CcliSongNumber,PublicationYear,CopyrightHolder,Category,Status,Pages,PageNumber,Type,FileName
1,,,,"10,000 Reasons",Bless The Lord,"Jonas Myrin, Matt Redman",G,G,73,4-Apr,6016351,2011,Atlas Mountain Songs,Contemporary,Final,,,NumberChart,10000-reasons-bless-the-lord-#.pdf
2,,,,A Mighty Fortress Is Our God,,Martin Luther,C,C,120,4-Apr,42964,1529,Public Domain,Hymn,Final,,,NumberChart,a-mighty-fortress-is-our-god-#.pdf
3,,,,Above All,,"Lenny LeBlanc, Paul Baloche",A,A,62,4-Apr,2672885,1999,Integrity's Hosanna! Music,Intermediate,Final,,,NumberChart,above-all-#.pdf
4,,,,All Glory Be To Christ,,Dustin Kensrue,E,E,94,4-Apr,7008232,2012,We Are Younger We Are Faster Music,Contemporary,Final,,,NumberChart,all-glory-be-to-christ-#.pdf
5,,,,All Heaven Declares,,"Noel Richards, Tricia Richards",A,A,120,4-Apr,120556,1987,Thankyou Music,Intermediate,Final,,,NumberChart,all-heaven-declares-#.pdf
6,,,,All The Poor And Powerless,,"David Leonard, Leslie Jordan",A,A,76,4-Apr,5881130,2011,Integrity's Alleluia! Music,Contemporary,Final,,,NumberChart,all-the-poor-and-powerless-#.pdf
7,,,,All To Us,,"Chris Tomlin, Jesse Reeves",G,Ab,62,4-Apr,5869860,2010,sixsteps Music,Contemporary,Final,,,NumberChart,all-to-us-#.pdf
8,,,,Amazing Grace,,"John Newton, John P. Rees",G,G,90,4-Mar,22025,1779,Public Domain,Hymn,Final,,,NumberChart,amazing-grace-#.pdf
9,,,,Amazing Grace,My Chains Are Gone,"Chris Tomlin, John Newton",F,F,60,4-Apr,4768151,2006,sixsteps Music,Contemporary,Final,,,NumberChart,amazing-grace-my-chains-are-gone-#.pdf
10,,,,Ancient Words,,Lynn DeShazo,E,E,63,4-Mar,2986399,2001,Integrity's Hosanna! Music,Contemporary,Final,,,NumberChart,ancient-words-#.pdf
11,,,,And Can It Be,Amazing Love,Charles Wesley,G,G,110,4-Apr,25280,1738,Public Domain,Hymn,Final,,,NumberChart,and-can-it-be-#.pdf
12,,,,Another In The Fire,,"Chris Davenport, Joel Houston",C,C,67,4-Apr,7124907,2018,Hillsong Music Publishing Australia,Contemporary,Final,,,NumberChart,another-in-the-fire-#.pdf
13,,,,Are You Washed In The Blood,,Elisha A. Hoffman,G,Ab,96,4-Apr,21105,1878,Public Domain,Hymn,Final,,,NumberChart,are-you-washed-in-the-blood-#.pdf
14,,,,As The Deer,,Martin Nystrom,D,D,74,4-Apr,1431,1984,Universal Music,Intermediate,Final,,,NumberChart,as-the-deer-#.pdf
15,,,,At The Cross,,"Isaac Watts, Ralph E. Hudson",D,Eb,82,4-Apr,29499,1707,Public Domain,Hymn,Final,,,NumberChart,at-the-cross-#.pdf
16,,,,At The Cross,Love Ran Red,"Chris Tomlin, Ed Cash",G,G,72,4-Apr,7017786,2014,Countless Wonder Publishing,Contemporary,Final,,,NumberChart,at-the-cross-love-ran-red-#.pdf
17,,,,Be Enthroned,,"Brian Johnson, Hunter Thompson",C,Db,70,4-Apr,7054178,2015,Bethel Music Publishing,Contemporary,Final,,,NumberChart,be-enthroned-#.pdf
18,,,,Be Thou My Vision,,"Eleanor H. Hull, Mary E. Byrne",D,Eb,0,4-Mar,30639,1912,Public Domain,Hymn,Final,,,NumberChart,be-thou-my-vision-#.pdf
19,,,,Beautiful One,,Tim Hughes,D,D,122,4-Apr,3915912,2002,Thankyou Music,Contemporary,Final,,,NumberChart,beautiful-one-#.pdf
20,,,,Because He Lives,,"Gloria Gaither, William J. Gaither",G,Ab,96,4-Apr,16880,1971,Hanna Street Music,Intermediate,Final,,,NumberChart,because-he-lives-#.pdf
21,,,,Before The Throne Of God Above,,"Charitie L. Bancroft, Vikki Cook",D,D,76,4-Mar,2306412,1997,Sovereign Grace Worship,Intermediate,Final,,,NumberChart,before-the-throne-of-god-above-#.pdf
22,,,,Behold Our God,,"Jonathan Baird, Meghan Baird",C,C,73,4-Apr,5937510,2011,Sovereign Grace Praise,Contemporary,Final,,,NumberChart,behold-our-god-#.pdf
23,,,,Behold The Lord,,"Gerald Coates, Noel Richards",G,G,49,4-Apr,1101763,1991,Thankyou Music,Intermediate,Final,,,NumberChart,
24,,,,Better Is One Day,,Matt Redman,E,E,77,4-Apr,1097451,1995,Thankyou Music,Intermediate,Final,,,NumberChart,better-is-one-day-#.pdf
25,,,,Blessed Assurance,,Fanny J. Crosby,D,D,66,8-Sep,22324,1873,Public Domain,Hymn,Final,,,NumberChart,blessed-assurance-#.pdf
26,,,,Blessed Be Your Name,,"Beth Redman, Matt Redman",B,B,116,4-Apr,3798438,2002,Thankyou Music,Contemporary,Final,,,NumberChart,blessed-be-your-name-#.pdf
27,,,,Break Every Chain,,Will Reagan,F,F#,67,4-Apr,5910977,2009,Capitol CMG Genesis,Contemporary,Final,,,NumberChart,break-every-chain-#.pdf
28,,,,Broken Vessels,Amazing Grace,"Joel Houston, Jonas Myrin",G,G,70,4-Apr,7019974,2014,Hillsong Music Publishing Australia,Contemporary,Final,,,NumberChart,broken-vessels-amazing-grace-#.pdf
29,,,,Build My Life,,"Brett Younker, Karl Martin",G,G,70,4-Apr,7070345,2016,Kaple Music,Contemporary,Final,,,NumberChart,build-my-life-#.pdf
30,,,,Build Your Kingdom Here,,"Gareth Gilkeson, Chris Llewellyn",D,D,137,4-Apr,6186078,2011,Thankyou Music,Contemporary,Final,,,NumberChart,build-your-kingdom-here-#.pdf
31,,,,Came To My Rescue,,"Dylan Thoma, Joel Davies",C,C,83,4-Apr,4705190,2005,Hillsong Music Publishing Australia,Contemporary,Final,,,NumberChart,came-to-my-rescue-#.pdf
32,,,,Christ Is Enough,,"Jonas Myrin, Reuben Morgan",B,B,82,4-Apr,6514035,2012, Hillsong Music Publishing Australia,Contemporary,Final,,,NumberChart,christ-is-enough-#.pdf
33,,,,Christ The Lord Is Risen Today,,Charles Wesley,C,C,90,4-Apr,27965,1739,Public Domain,Hymn,Final,,,NumberChart,christ-the-lord-is-risen-today-#.pdf
34,,,,Christ The Lord Is Risen Today,He Is Not Dead,"Charles Wesley, Samuel Arnold",C,C,118,4-Apr,7019316,2014,Integrity's Praise! Music,Contemporary,Final,,,NumberChart,christ-the-lord-is-risen-today-he-is-not-dead-#.pdf
35,,,,Come Now Is The Time To Worship,,Brian Doerksen,D,D,98,4-Apr,2430948,1998,Vineyard Songs,Intermediate,Final,,,NumberChart,come-now-is-the-time-to-worship-#.pdf
36,,,,Come Thou Fount,,Robert Robinson,D,D,80,4-Mar,108389,1758,Public Domain,Hymn,Final,,,NumberChart,come-thou-fount-#.pdf
37,,,,Cornerstone,,"Edward Mote, Eric Liljero",C,C,71,4-Apr,6158927,2011,Hillsong Music Publishing Australia,Contemporary,Final,,,NumberChart,cornerstone-#.pdf
38,,,,Crown Him,Majesty,"Chris Tomlin, Ed Cash",D,"Db,Eb",76,4-Apr,6463818,2013,Alletrop Music,Contemporary,Final,,,NumberChart,crown-him-majesty-#.pdf
39,,,,Crown Him With Many Crowns,,"Matthew Bridges, Godfrey Thring",D,D,92,4-Apr,23938,1851,Public Domain,Hymn,Final,,,NumberChart,crown-him-with-many-crowns-#.pdf
40,,,,Days Of Elijah,,Robin Mark,A,Bb,95,4-Apr,1537904,1996,Song Solutions Daybreak,Intermediate,Final,,,NumberChart,days-of-elijah-#.pdf
41,,,,Death Was Arrested,,"Heath Balltzglier, Brandon Coker",B,B,52,8-Jun,7046448,2015,Seems Like Music,Contemporary,Final,,,NumberChart,death-was-arrested-#.pdf
42,,,,Death Where Is Your Sting,,"Cory Asbury, Anna Asbury",C,C,79,4-Apr,7102440,2017,Cory Asbury Publishing,Contemporary,Final,,,NumberChart,death-where-is-your-sting-#.pdf
43,,,,Do It Again,,"Steven Furtick, Matt Redman",A,Bb,86,4-Apr,7067555,2016,Said And Done Music,Contemporary,Final,,,NumberChart,do-it-again-#.pdf
