Index	Title	AltTitle	Author	CcliSongNumber
1	Overjoyed		Scott Brenner	
2	My Heart Cries Holy		Scott Brenner	
3	Encounter		Scott Brenner	
4	Give Me Your Heart	?? ?? ????	Scott Brenner	
5	More Than Anything	? ?? ? ?? ??	Scott Brenner	
6	The Love of God	?? ??? ??	Scott Brenner	
7	You Broke The Chains	? ? ???	Scott Brenner	
8	None Greater Than Jesus	????	Scott Brenner	
9	Christ Our King	???? ?? ?	Scott Brenner	
10	Christ Our King	???? ???	Scott Brenner	
11	I Will Worship You Forever	????? ???	Scott Brenner	
12	"Jesus,I Love You"	?? ????	Scott Brenner	
13	Sacred Lamb	? ???	Scott Brenner	
14	LET CHRIST BE FORMED IN ME	? ?? ???	Scott Brenner	
15	I Stand Amazed	?? ???	Scott Brenner	
16	Hosanna		Scott Brenner	
17	Because of Who You Are	? ?? ???	Scott Brenner	
18	Forever Im Resolved	??? ? ??	Scott Brenner	
19	High And Lifted Up	? ?? ?????	Scott Brenner	
20	My Heart Cries Holy		Scott Brenner	
21	Renovate	??? ???	Scott Brenner	
22	We Cry Glory	?? ??? ??	Scott Brenner	
23	GLORIFY THE LORD	? ??? ??	Scott Brenner	
24	GLORY	??	Scott Brenner	
25	"Come, Lord Jesus, Come"	? ????	Scott Brenner	
26	EVERYTHING I AM	? ?? ?? ?	Scott Brenner	
27	The Glory of The Cross 	 ???? ??	Scott Brenner	
28	You Must Increase	???? ????	Scott Brenner	
29	YOU SHALL REIGN	??? ? ????	Scott Brenner	
30	World Wide Awakening	?????	Scott Brenner	
31	I'll Never Be Ashamed	?? ???? ?????	Scott Brenner	
32	God So Loved The World	????? ??? ????	Scott Brenner	
33	God So Loved The World	????? ??? ????	Scott Brenner	
34	My Soul Will Follow	?? ?? ???	Scott Brenner	
35	Glory In The Highest	?? ?? ?? ??	Scott Brenner	
36	Crucified with Christ	?? ????? ??	Scott Brenner	
37	Grace	??	Scott Brenner	
38	Lift Your Eyes	?? ??	Scott Brenner	
39	You Are Here	??? ???	Scott Brenner	
40	Sweet Refrains Arise	?? ?? ?? ??	Scott Brenner	
41	Kairos	????	Scott Brenner	
42	Awake!	????!	Scott Brenner	
43	Taking My Stand	? ?? ??	Scott Brenner	
44	Revolution	????	Scott Brenner	
45	We're Rising Up	???? ????	Scott Brenner	
46	Come On Everybody		Scott Brenner	
47	Every Nation	?? ??	Scott Brenner	
48	My One Reward	??? ? ??	Scott Brenner	
49	Hearts On Fire	??? ?? ??	Scott Brenner	
50	Behold The Lamb	???? ?? ?? ? ???	Scott Brenner	
51	Holy Is Our God	???? ?	Scott Brenner	
52	Our King Forever	?? ???	Scott Brenner	
53	I Am Yours	? ?? ?	Scott Brenner	
54	I Worship You	?????	Scott Brenner	
55	Decided	?? ?? ????	Scott Brenner	
56	Jesus (Your Name)	?? ? ??	Scott Brenner	
57	Lord of My Heart	?? ??	Scott Brenner	
58	All That I Can Say		Scott Brenner	
59	That Is Why		Scott Brenner	
60	Scars of Love		Scott Brenner	
61	Let Your Love Wash Over Me		Scott Brenner	
62	Be Still My Soul		Katharina A. von Schlegel	
63	Now Im Coming Home		Scott Brenner	
