Track Name,Artist Name,Album Name,Album #, Release Date,Track Number,Duration,Popularity
Oceans (Where Feet May Fail),"The Worship Initiative, Shane & Shane","The Worship Initiative, Vol. 1",1,5/6/2014,1,252626,28
This Is Amazing Grace,"The Worship Initiative, Shane & Shane","The Worship Initiative, Vol. 1",1,5/6/2014,2,274914,27
All the Poor and Powerless,"The Worship Initiative, Shane & Shane","The Worship Initiative, Vol. 1",1,5/6/2014,3,319502,29
"Lord, I Need You","The Worship Initiative, Shane & Shane","The Worship Initiative, Vol. 1",1,5/6/2014,4,279973,39
In Christ Alone,"The Worship Initiative, Shane & Shane","The Worship Initiative, Vol. 1",1,5/6/2014,5,299996,43
Beautiful Things,"The Worship Initiative, Shane & Shane","The Worship Initiative, Vol. 1",1,5/6/2014,6,299783,26
Come Thou Fount (Above All Else),"The Worship Initiative, Shane & Shane","The Worship Initiative, Vol. 1",1,5/6/2014,7,286379,29
"10,000 Reasons","The Worship Initiative, Shane & Shane","The Worship Initiative, Vol. 1",1,5/6/2014,8,241100,26
Whom Shall I Fear (God of Angel Armies),"The Worship Initiative, Shane & Shane","The Worship Initiative, Vol. 1",1,5/6/2014,9,261878,25
Happy Day,"The Worship Initiative, Shane & Shane","The Worship Initiative, Vol. 1",1,5/6/2014,10,239773,25
Heart Starts Beating,"The Worship Initiative, Shane & Shane","The Worship Initiative, Vol. 2",2,5/27/2014,1,217968,17
Hosanna (Praise Is Rising),"The Worship Initiative, Shane & Shane","The Worship Initiative, Vol. 2",2,5/27/2014,2,245094,27
Forever Reign,"The Worship Initiative, Shane & Shane","The Worship Initiative, Vol. 2",2,5/27/2014,3,349229,25
Mercy,"The Worship Initiative, Shane & Shane","The Worship Initiative, Vol. 2",2,5/27/2014,4,320164,21
How Great Is Our God,"The Worship Initiative, Shane & Shane","The Worship Initiative, Vol. 2",2,5/27/2014,5,254780,26
You Are My All In All,"The Worship Initiative, Shane & Shane","The Worship Initiative, Vol. 2",2,5/27/2014,6,229487,41
We Exalt Thee,"The Worship Initiative, Shane & Shane","The Worship Initiative, Vol. 2",2,5/27/2014,7,275259,25
Our God,"The Worship Initiative, Shane & Shane","The Worship Initiative, Vol. 2",2,5/27/2014,8,290757,24
Open the Eyes of My Heart,"The Worship Initiative, Shane & Shane","The Worship Initiative, Vol. 2",2,5/27/2014,9,299787,35
Better Is One Day,"The Worship Initiative, Shane & Shane","The Worship Initiative, Vol. 2",2,5/27/2014,10,273045,31
So I Can Love,"The Worship Initiative, Shane & Shane","The Worship Initiative, Vol. 3",3,6/17/2014,1,235666,21
I Will Follow,"The Worship Initiative, Shane & Shane","The Worship Initiative, Vol. 3",3,6/17/2014,2,242976,23
Liberty,"The Worship Initiative, Shane & Shane","The Worship Initiative, Vol. 3",3,6/17/2014,3,290418,20
Lord You're Beautiful,"The Worship Initiative, Shane & Shane","The Worship Initiative, Vol. 3",3,6/17/2014,4,206182,23
How He Loves Us,"The Worship Initiative, Shane & Shane","The Worship Initiative, Vol. 3",3,6/17/2014,5,290682,48
Never Once,"The Worship Initiative, Shane & Shane","The Worship Initiative, Vol. 3",3,6/17/2014,6,259133,28
Shout to the Lord,"The Worship Initiative, Shane & Shane","The Worship Initiative, Vol. 3",3,6/17/2014,7,271670,34
Before the Throne of God Above,"The Worship Initiative, Shane & Shane","The Worship Initiative, Vol. 3",3,6/17/2014,8,342625,46
Beautiful One,"The Worship Initiative, Shane & Shane","The Worship Initiative, Vol. 3",3,6/17/2014,9,227357,25
Blessed Be Your Name,"The Worship Initiative, Shane & Shane","The Worship Initiative, Vol. 3",3,6/17/2014,10,257815,31
I Stand Amazed (How Marvelous),"The Worship Initiative, Shane & Shane","The Worship Initiative, Vol. 4",4,7/8/2014,1,259668,31
Our God Is Love,"The Worship Initiative, Shane & Shane","The Worship Initiative, Vol. 4",4,7/8/2014,2,263965,18
Holy Is the Lord,"The Worship Initiative, Shane & Shane","The Worship Initiative, Vol. 4",4,7/8/2014,3,278912,21
Here for You,"The Worship Initiative, Shane & Shane","The Worship Initiative, Vol. 4",4,7/8/2014,4,274606,19
Always,"The Worship Initiative, Shane & Shane","The Worship Initiative, Vol. 4",4,7/8/2014,5,268821,18
Here I Am to Worship,"The Worship Initiative, Shane & Shane","The Worship Initiative, Vol. 4",4,7/8/2014,6,260232,29
Worthy of Affection,"The Worship Initiative, Shane & Shane","The Worship Initiative, Vol. 4",4,7/8/2014,7,391554,22
Healer,"The Worship Initiative, Shane & Shane","The Worship Initiative, Vol. 4",4,7/8/2014,8,305462,20
It Is Well,"The Worship Initiative, Shane & Shane","The Worship Initiative, Vol. 4",4,7/8/2014,9,386430,35
O Praise Him (All This for a King),"The Worship Initiative, Shane & Shane","The Worship Initiative, Vol. 4",4,7/8/2014,10,239803,21
Cornerstone,"The Worship Initiative, Shane & Shane","The Worship Initiative, Vol. 5",5,7/29/2014,1,297427,32
Reign In Us,"The Worship Initiative, Shane & Shane","The Worship Initiative, Vol. 5",5,7/29/2014,2,266113,24
Cannons,"The Worship Initiative, Shane & Shane","The Worship Initiative, Vol. 5",5,7/29/2014,3,269169,23
Though You Slay Me,"The Worship Initiative, Shane & Shane","The Worship Initiative, Vol. 5",5,7/29/2014,4,265353,27
Let My Words Be Few,"The Worship Initiative, Shane & Shane","The Worship Initiative, Vol. 5",5,7/29/2014,5,299974,23
I Am Set Free,"The Worship Initiative, Shane & Shane","The Worship Initiative, Vol. 5",5,7/29/2014,6,261125,21
